B001	Kindle 1                                                     K1
B101	Kindle 1                                                     K1
B002	Kindle 2 U.S. (Sprint)                                       K2
B003	Kindle 2 International (AT&T)                                K2, K2I
B004	Kindle DX U.S.                                               DX
B005	Kindle DX International                                      DX, DXI
B009	Kindle DX Graphite                                           DXG
B008	Kindle 3 WiFi                                                K3, K3W
B006	Kindle 3 3G + WiFi (U.S. and Canada)                         K3, K3G         NOTE: Some European customers may receive this model as well.
B00A	Kindle 3 3G + WiFi (Europe)                                  K3, K3GB
B00C	Kindle PaperWhite not for sale (FOR TESTERS)
B00E	Kindle 4 NoTouch Silver (2011)                               K4, K4S
B00F	Kindle Touch 3G + WiFi (Kindle 5) (U.S. and Canada) [Mostly] K5, KT
B011	Kindle Touch WiFi (Kindle 5)                                 K5, KT, K5W
B010	Kindle Touch 3G + WiFi (Kindle 5) (Europe)                   K5, KT, K5G
B012	Kindle 5 (Unknown)                                           K5              If you happen to get your hands on one of these, please enlighten us!
B023	Kindle 4 NoTouch Black (2012)                                K4, K4B         [Support added in KindleTool 1.5.1]
9023	Kindle 4 NoTouch Black (2012)                                K4, K4B         [Support added in KindleTool 1.5.1]
B024	Kindle PaperWhite WiFi                                       PW              [Support added in KindleTool 1.5.3]
B01B	Kindle PaperWhite 3G + WiFi (U.S.) [Mostly]                  PW, PWG         [Support added in KindleTool 1.5.3]
B020	Kindle PaperWhite 3G + WiFi (Brazil)                         PW, PWBR        [Support added in KindleTool 1.5.8]
B01C	Kindle PaperWhite 3G + WiFi (Canada)                         PW, PWC         [Support added in KindleTool 1.5.7]
B01D	Kindle PaperWhite 3G + WiFi (Europe)                         PW, PWGB        [Support added in KindleTool 1.5.4]
B01F	Kindle PaperWhite 3G + WiFi (Japan)                          PW, PWJ         [Support added in KindleTool 1.5.6]
B0D4	Kindle PaperWhite 2 (2013) WiFi (U.S., Intl.)                PW2             [Support added in KindleTool 1.6.0]
90D4	Kindle PaperWhite 2 (2013) WiFi (U.S., Intl.)                PW2             [Support added in KindleTool 1.6.0]
B05A	Kindle PaperWhite 2 (2013) WiFi (Japan)                      PW2, PW2J       [Support added in KindleTool 1.6.0]
905A	Kindle PaperWhite 2 (2013) WiFi (Japan)                      PW2, PW2J       [Support added in KindleTool 1.6.0]
